timestamp,eye_rub_first_hand_report,eye_rub_first_hand_count,eye_rub_first_hand_durations,|,eye_rub_second_hand_report,eye_rub_second_hand_count,eye_rub_second_hand_durations,|,flicker_report,flicker_count,|,micro_sleep_report,micro_sleep_count,micro_sleep_durations,|,pitch_report,pitch_count,pitch_durations,|,yawn_report,yawn_count,yawn_durations
2024-11-21 10:34:11,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:12,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:14,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:16,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:17,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:19,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:20,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:22,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:23,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:25,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:26,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 17.0 seconds', '2 micro sleep: 7.0 seconds', '3 micro sleep: 14.0 seconds', '4 micro sleep: 27.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2024-11-21 10:34:26,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:28,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:29,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:31,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:32,True,0,[],|,True,0,[],|,True,2,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:34,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:36,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:38,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:39,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:41,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:42,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:44,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:45,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:47,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:47,False,0,[],|,False,0,[],|,False,0,|,True,5,"['1 micro sleep: 17.0 seconds', '2 micro sleep: 7.0 seconds', '3 micro sleep: 14.0 seconds', '4 micro sleep: 27.0 seconds', '5 micro sleep: 15.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2024-11-21 10:34:48,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:34:50,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,"['1 yawn: 10.0 seconds', '1 yawn: 12.0 seconds']"
2024-11-21 10:37:38,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:37:39,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
